iter	Passed	Remaining
0	1	115
1	1	72
2	1	62
3	2	57
4	2	53
5	3	49
6	4	57
7	4	56
8	5	54
9	5	53
10	6	52
11	7	53
12	7	52
13	8	50
14	8	48
15	9	47
16	9	45
17	9	44
18	10	42
19	10	41
20	10	40
21	10	38
22	11	37
23	11	36
24	12	36
25	12	36
26	13	36
27	14	36
28	14	36
29	15	35
30	15	34
31	15	33
32	16	32
33	16	32
34	16	31
35	18	33
36	19	33
37	20	33
38	21	34
39	22	33
40	22	32
41	23	32
42	23	31
43	24	30
44	24	30
45	24	29
46	25	28
47	25	27
48	25	26
49	26	26
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	29	23
56	30	22
57	30	22
58	30	21
59	31	20
60	31	20
61	32	19
62	33	19
63	34	19
64	35	18
65	35	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
